"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","Work_accident","left","promotion_last_5years","department","salary"
0.43,0.51,2,151,3,1,0,0,"marketing",1
0.46,0.44,2,135,3,0,0,0,"marketing",1
0.13,0.85,7,289,4,0,1,0,"sales",1
0.41,0.51,2,156,3,1,0,0,"sales",1
0.38,0.48,2,128,3,1,0,0,"sales",1
0.4,0.46,2,159,3,1,1,0,"sales",1
0.49,0.47,2,148,3,1,1,0,"sales",1
0.9,0.89,4,228,5,0,0,0,"sales",1
0.82,0.85,5,261,5,0,0,0,"sales",1
0.82,0.9,5,249,6,0,1,0,"sales",1
0.22,0.52,7,192,3,1,0,0,"sales",1
0.63,0.9,2,258,5,0,0,0,"sales",1
0.14,0.79,6,266,4,0,1,0,"sales",2
0.45,0.52,2,156,3,1,1,0,"sales",2
0.91,0.86,5,232,5,0,1,0,"accounting",2
0.14,0.77,6,287,4,0,1,0,"accounting",2
0.85,0.95,5,263,5,0,1,0,"hr",2
0.14,0.76,6,260,4,1,1,0,"hr",2
0.45,0.48,2,139,3,0,1,0,"hr",2
0.87,0.91,4,251,5,0,1,0,"technical",2
0.14,0.93,6,286,4,0,1,0,"technical",2
0.48,0.49,2,127,3,0,0,0,"technical",2
0.14,0.82,6,251,4,0,0,0,"technical",2
0.13,0.95,6,267,4,1,1,0,"support",1
0.77,0.87,5,229,6,1,1,0,"support",1
0.85,0.74,4,233,4,1,0,0,"support",1
0.13,0.91,6,268,4,0,1,0,"support",1
0.3,0.54,3,301,3,1,1,0,"support",1
0.14,0.81,6,306,4,1,0,0,"support",1
0.85,0.89,5,232,5,0,1,0,"technical",1
0.39,0.46,2,137,3,0,1,0,"technical",1
0.44,0.42,2,146,3,1,0,0,"IT",1
0.14,0.89,6,308,4,0,1,0,"IT",1
0.13,0.91,6,253,4,0,1,0,"IT",2
0.43,0.5,2,147,3,0,1,0,"product_mng",2
0.48,0.46,2,136,3,0,1,0,"product_mng",2
0.77,0.82,5,249,5,0,0,0,"product_mng",2
0.13,0.75,7,250,5,0,1,0,"RandD",2
0.4,0.44,2,149,3,1,0,0,"marketing",3
0.14,0.8,5,287,4,1,1,0,"sales",1
0.13,0.92,6,285,4,0,0,0,"support",2
0.13,0.91,7,305,4,0,1,0,"technical",2
0.14,0.93,7,295,4,1,0,0,"management",2
0.43,0.47,2,139,3,1,1,0,"marketing",1
0.76,0.84,4,245,6,0,1,0,"sales",1
0.41,0.45,2,135,3,0,1,0,"sales",1
0.14,0.92,6,276,4,0,1,0,"sales",1
0.44,0.44,2,130,3,0,0,0,"sales",1
0.64,0.45,2,248,3,0,1,0,"sales",1
0.4,0.44,2,131,3,1,1,0,"sales",1
0.4,0.5,2,157,3,0,0,0,"sales",1
0.47,0.41,2,148,3,1,1,0,"sales",1
0.09,0.83,7,302,4,0,0,0,"sales",1
0.48,0.5,2,145,3,1,0,0,"sales",2
0.48,0.45,2,151,3,0,0,0,"accounting",2
0.8,0.85,5,266,5,0,0,0,"accounting",2
0.42,0.48,2,142,3,0,1,0,"hr",2
0.93,0.98,5,232,5,1,1,0,"technical",2
0.44,0.54,2,143,3,0,0,0,"technical",2
0.13,0.84,6,278,4,0,1,0,"technical",3
0.84,0.98,4,253,5,1,1,0,"technical",1
0.14,0.78,6,282,4,1,1,0,"technical",2
0.14,0.82,7,264,4,0,1,0,"technical",2
0.12,0.78,6,304,5,1,1,0,"technical",2
0.89,0.89,4,262,6,0,0,0,"support",1
0.47,0.55,2,135,3,0,1,0,"support",1
0.36,0.86,6,219,5,1,0,0,"support",1
0.4,0.52,2,149,3,0,1,0,"support",1
0.44,0.52,2,145,3,0,1,0,"support",1
0.94,0.85,4,235,5,0,1,0,"technical",1
0.13,0.81,6,258,4,0,0,0,"management",1
0.13,0.8,6,266,4,0,1,0,"IT",1
0.4,0.49,2,135,3,0,1,0,"IT",1
0.89,0.77,5,249,5,0,1,0,"product_mng",2
0.59,0.64,4,296,2,0,1,0,"IT",2
0.47,0.54,2,158,3,1,1,0,"accounting",2
0.34,0.54,4,238,2,0,1,0,"accounting",2
0.8,0.91,4,231,5,1,1,0,"hr",2
0.41,0.49,2,159,3,1,1,0,"sales",2
0.39,0.46,2,156,3,1,1,0,"accounting",3
0.13,0.95,6,247,4,0,1,0,"management",2
0.48,0.53,2,148,3,0,1,0,"sales",1
0.87,0.98,4,261,5,0,1,0,"sales",1
0.48,0.39,2,128,3,0,1,0,"sales",1
0.94,0.98,5,251,6,1,1,0,"sales",1
0.79,0.9,4,246,5,0,1,0,"sales",1
0.77,0.98,5,275,5,0,1,0,"sales",1
0.9,0.86,5,240,5,0,0,0,"sales",1
0.79,0.85,5,245,5,1,1,0,"sales",1
0.5,0.48,4,254,4,0,1,0,"sales",1
0.12,0.92,6,257,4,0,0,0,"sales",1
0.85,0.96,4,233,5,1,1,0,"sales",1
0.48,0.51,2,138,3,0,0,0,"accounting",2
0.94,0.95,5,233,5,0,0,0,"hr",2
0.45,0.52,3,199,4,0,1,0,"technical",2
0.85,0.83,4,223,5,0,0,0,"technical",2
0.08,0.87,6,287,4,0,1,0,"technical",2
0.89,0.98,5,257,5,0,1,0,"technical",2
0.45,0.49,2,136,3,1,1,0,"technical",2
0.77,0.9,4,261,5,1,1,0,"technical",2
0.58,0.58,3,180,4,1,1,0,"technical",2
0.44,0.5,2,127,3,1,1,0,"support",1
0.13,0.82,6,309,4,0,0,0,"support",1
0.14,0.83,6,261,4,1,0,0,"support",1
0.46,0.51,2,160,3,1,1,0,"support",1
0.44,0.5,2,136,3,1,1,0,"technical",1
0.44,0.46,2,139,3,0,0,0,"technical",1
0.8,0.98,5,229,5,1,1,0,"management",1
0.42,0.52,2,122,3,1,1,0,"IT",1
0.39,0.46,2,159,3,0,0,0,"product_mng",1
0.84,0.88,4,226,5,1,0,0,"product_mng",2
0.13,0.85,6,286,4,1,1,0,"IT",2
0.4,0.52,2,145,3,0,1,0,"RandD",2
0.47,0.51,2,127,3,1,1,0,"RandD",2
0.89,0.91,5,223,5,0,0,0,"RandD",2
0.43,0.46,2,137,3,1,1,0,"sales",2
0.46,0.48,2,137,3,1,1,0,"support",2
0.83,0.78,4,273,5,1,1,0,"management",1
0.86,0.96,5,238,5,0,1,0,"marketing",1
0.41,0.46,2,134,3,0,1,0,"marketing",2
0.12,0.88,6,292,4,0,0,0,"sales",2
0.44,0.5,2,159,3,0,1,0,"sales",1
0.92,0.83,5,261,5,0,1,0,"sales",1
0.07,0.77,6,275,4,1,1,0,"sales",1
0.74,0.81,5,227,5,0,1,0,"sales",1
0.14,0.94,7,277,5,0,1,0,"sales",1
0.8,0.85,4,242,6,0,1,0,"sales",1
0.35,0.93,5,172,2,0,1,0,"sales",1
0.22,0.98,4,187,4,0,1,0,"accounting",1
0.13,0.81,7,276,4,1,1,0,"accounting",1
0.51,0.54,4,281,6,1,0,0,"hr",2
0.09,0.81,6,244,4,1,0,0,"hr",2
0.13,0.92,6,309,4,0,0,0,"technical",2
0.13,0.8,6,244,4,1,1,0,"technical",2
0.62,0.47,7,258,4,0,1,0,"technical",2
0.94,0.82,5,265,5,0,0,0,"technical",2
0.69,0.55,5,161,5,1,0,0,"technical",3
0.46,0.49,2,155,3,0,1,0,"technical",2
0.42,0.52,2,158,3,0,1,0,"support",1
0.4,0.55,2,155,3,0,0,0,"support",1
0.47,0.46,2,146,3,0,1,0,"support",1
0.56,0.83,2,164,5,1,1,0,"support",1
0.14,0.87,6,293,4,0,1,0,"support",1
0.86,0.94,5,275,5,0,1,0,"support",1
0.47,0.52,2,151,3,0,1,0,"management",1
0.77,0.92,4,228,5,1,1,0,"IT",1
0.77,0.8,4,239,6,1,0,0,"IT",1
0.44,0.49,2,150,3,0,0,0,"product_mng",1
0.44,0.43,2,144,3,0,1,0,"product_mng",1
0.12,0.88,7,289,4,0,1,0,"product_mng",1
0.13,0.82,6,246,4,0,1,0,"hr",2
0.46,0.44,2,136,3,0,1,0,"hr",2
0.78,0.83,5,240,6,0,1,0,"marketing",2
0.35,0.54,2,156,3,0,1,0,"sales",2
0.43,0.43,2,158,3,0,1,0,"support",2
0.85,0.98,5,261,5,1,1,0,"technical",2
0.49,0.52,2,129,3,1,0,0,"marketing",3
0.84,0.85,4,254,5,1,1,0,"marketing",1
0.8,0.89,5,236,5,0,0,0,"marketing",2
0.46,0.47,2,135,3,1,0,0,"sales",2
0.4,0.48,2,141,3,1,1,0,"sales",1
0.44,0.45,2,138,3,0,1,0,"sales",1
0.85,0.83,5,248,5,0,1,0,"sales",1
0.49,0.41,2,141,3,0,1,0,"sales",1
0.46,0.55,2,157,3,0,0,0,"sales",1
0.12,0.84,6,279,4,0,0,0,"sales",1
0.13,0.75,7,291,4,0,1,0,"accounting",1
0.44,0.51,2,157,3,1,0,0,"accounting",1
0.82,0.56,3,294,4,0,1,0,"hr",1
0.47,0.49,2,129,3,0,1,0,"hr",2
0.28,0.44,4,214,4,0,1,0,"technical",2
0.76,0.98,4,252,5,0,0,0,"technical",2
0.42,0.47,2,129,3,0,1,0,"technical",2
0.93,0.94,5,243,5,0,1,0,"technical",2
0.37,0.53,2,159,3,0,1,0,"technical",3
0.47,0.49,2,145,3,0,1,0,"support",1
0.47,0.54,2,145,3,0,1,0,"support",2
0.39,0.54,2,154,3,0,1,1,"support",2
0.43,0.49,2,139,3,0,0,0,"support",1
0.49,0.55,2,152,3,0,1,0,"support",1
0.78,0.81,2,211,3,0,0,0,"support",1
0.9,0.88,5,258,5,1,1,0,"support",1
0.41,0.53,2,148,3,0,0,0,"support",1
0.4,0.52,2,132,3,1,1,0,"technical",1
0.13,0.75,6,255,4,1,1,0,"management",1
0.89,0.77,5,222,5,0,1,0,"IT",1
0.14,0.88,6,263,4,0,1,0,"IT",1
0.4,0.44,2,157,3,0,1,0,"IT",1
0.14,0.9,7,307,4,0,0,0,"IT",1
0.8,0.96,5,259,6,0,0,0,"product_mng",1
0.13,0.82,7,250,4,0,1,0,"product_mng",1
0.86,0.88,5,245,5,1,1,0,"product_mng",1
0.14,0.77,6,292,4,0,0,0,"IT",1
0.48,0.47,2,134,3,0,0,0,"RandD",2
0.42,0.51,2,122,3,0,0,0,"sales",2
0.36,0.45,2,138,3,1,0,0,"accounting",2
0.12,0.88,7,296,4,0,1,0,"technical",2
0.13,0.81,7,267,4,0,1,0,"management",2
0.86,0.93,4,251,5,0,1,0,"marketing",2
0.46,0.49,2,141,3,0,1,0,"sales",1
0.83,0.73,3,268,2,1,1,0,"sales",2
0.41,0.48,2,140,3,1,0,0,"sales",1
0.76,0.96,5,263,6,0,0,0,"sales",1
0.47,0.47,2,145,3,1,1,0,"sales",1
0.44,0.44,2,156,3,0,1,0,"sales",1
0.75,0.83,5,244,6,1,1,0,"sales",1
0.37,0.65,4,141,2,0,1,0,"sales",1
0.36,0.54,2,154,3,0,0,0,"sales",1
0.46,0.5,2,147,3,0,1,0,"sales",1
0.87,0.81,4,227,5,1,1,0,"accounting",1
0.46,0.46,2,153,3,0,1,0,"accounting",1
0.4,0.45,2,128,3,0,0,0,"accounting",1
0.77,0.95,4,223,5,0,0,0,"hr",1
0.4,0.4,2,148,3,0,0,0,"hr",1
0.49,0.48,2,151,3,1,0,0,"technical",2
0.48,0.52,2,129,3,0,1,0,"technical",2
0.49,0.48,2,156,3,1,0,0,"technical",2
0.37,0.43,2,134,3,0,0,0,"technical",2
0.12,0.86,6,269,4,0,1,0,"technical",2
0.12,0.75,6,290,4,0,1,0,"technical",2
0.46,0.53,2,130,3,0,0,0,"support",3
0.42,0.51,2,141,3,0,1,0,"support",1
0.47,0.48,2,130,3,1,1,0,"support",2
0.42,0.39,2,136,3,1,0,0,"support",2
0.81,0.87,5,274,6,0,0,0,"support",2
0.13,0.75,5,276,4,0,1,0,"support",1
0.78,0.83,5,267,5,1,0,0,"support",1
0.49,0.6,6,213,3,0,1,0,"support",1
0.94,0.95,4,274,6,0,1,0,"technical",1
0.49,0.5,2,154,3,0,0,0,"IT",1
0.49,0.48,2,157,3,0,1,0,"IT",1
0.89,0.98,5,229,5,1,0,0,"product_mng",1
0.13,0.81,6,269,4,1,1,0,"IT",1
0.14,0.85,7,278,4,1,1,0,"sales",1
0.9,0.98,4,228,5,1,1,0,"support",2
0.45,0.73,3,218,4,0,1,0,"management",2
0.13,0.81,6,278,4,1,0,0,"marketing",2
0.81,0.69,3,249,5,0,1,0,"marketing",2
0.38,0.97,3,236,4,0,1,0,"sales",2
0.13,0.79,7,291,4,1,1,0,"sales",3
0.49,0.48,2,143,3,1,1,0,"sales",2
0.92,0.8,4,243,5,0,0,0,"sales",2
0.48,0.52,2,147,3,1,0,0,"sales",1
0.77,0.89,5,271,5,1,1,0,"sales",1
0.67,0.88,6,247,2,1,1,0,"sales",1
0.43,0.53,2,159,3,0,0,0,"sales",1
0.39,0.43,2,127,3,0,1,0,"accounting",1
0.46,0.55,2,160,3,0,1,0,"technical",2
0.12,0.81,6,282,4,0,1,0,"technical",2
0.88,0.56,3,226,2,0,1,0,"support",2
0.41,0.43,2,129,3,0,1,0,"support",2
0.04,0.9,7,255,4,1,1,0,"support",2
0.45,0.54,2,143,3,1,1,0,"support",2
0.14,0.85,6,257,4,1,1,0,"support",2
0.53,0.52,5,153,4,1,0,0,"support",1
0.46,0.49,2,130,3,0,1,0,"IT",1
0.49,0.43,2,138,3,1,1,1,"IT",1
0.8,0.85,5,235,5,0,0,0,"IT",1
0.42,0.52,2,127,3,0,0,0,"sales",1
0.44,0.53,2,151,3,0,1,0,"sales",1
0.13,0.88,7,290,4,1,1,0,"sales",1
0.42,0.44,2,159,3,0,1,0,"sales",2
0.86,0.97,4,223,5,0,1,0,"accounting",2
0.47,0.52,2,127,3,1,0,0,"management",2
0.45,0.44,2,141,3,1,1,0,"marketing",2
0.13,0.84,6,309,4,1,0,0,"sales",2
0.34,0.75,4,149,3,0,0,0,"sales",2
0.45,0.52,2,159,3,0,0,0,"sales",2
0.41,0.48,2,152,3,0,1,0,"sales",3
0.13,0.95,6,254,5,1,0,0,"sales",2
0.14,0.88,7,247,4,1,1,0,"sales",2
0.75,0.98,4,245,5,1,1,0,"sales",1
0.39,0.44,2,132,3,1,1,0,"sales",1
0.81,0.91,5,225,5,0,1,0,"sales",1
0.13,0.9,6,243,4,0,0,0,"sales",1
0.26,0.97,4,204,4,0,0,0,"accounting",1
0.14,0.85,6,301,4,0,1,0,"accounting",1
0.94,0.87,4,247,5,0,1,0,"hr",1
0.46,0.53,2,153,3,0,1,0,"technical",2
0.13,0.75,6,310,4,1,0,0,"technical",2
0.84,0.93,5,266,5,0,1,0,"technical",2
0.48,0.52,2,138,3,0,0,0,"technical",2
0.74,0.98,4,300,5,1,1,0,"support",2
0.14,0.95,7,310,4,0,1,0,"support",2
0.12,0.95,7,288,4,1,0,0,"support",2
0.41,0.47,2,127,3,1,1,0,"support",2
0.18,0.48,6,139,4,0,0,0,"support",3
0.13,0.9,7,253,4,0,1,0,"support",1
0.83,0.95,4,218,5,0,1,0,"support",2
0.82,0.95,5,251,5,0,0,0,"support",2
0.43,0.49,2,138,3,1,0,0,"technical",1
0.44,0.43,2,123,3,0,1,0,"management",1
0.14,0.84,6,303,4,0,0,0,"IT",1
0.13,0.91,6,269,4,0,1,0,"IT",1
0.62,0.98,2,160,5,1,0,0,"product_mng",1
0.87,0.8,5,224,6,0,1,0,"RandD",1
0.92,0.98,4,260,5,1,0,0,"RandD",1
0.14,0.76,6,300,4,0,1,0,"RandD",1
0.39,0.54,2,138,3,0,1,0,"accounting",2
0.13,0.83,6,254,4,0,0,0,"technical",2
0.42,0.45,2,152,3,0,1,0,"marketing",2
0.47,0.49,2,146,3,0,0,0,"marketing",2
0.13,0.82,6,253,4,0,0,0,"marketing",2
0.82,0.92,5,227,6,1,1,0,"sales",2
0.13,0.79,6,301,4,1,1,0,"sales",2
0.4,0.45,2,151,3,0,1,0,"sales",2
0.82,0.83,5,258,5,0,1,0,"sales",2
0.45,0.54,2,156,3,0,1,0,"sales",2
0.13,0.83,6,273,4,1,1,0,"sales",2
0.14,0.76,6,303,4,1,1,0,"sales",1
0.44,0.45,2,154,3,0,1,0,"sales",1
0.13,0.92,6,260,4,0,1,0,"sales",1
0.85,0.83,5,218,5,0,1,0,"sales",1
0.41,0.55,2,152,3,1,0,0,"hr",1
0.42,0.54,2,121,3,0,1,0,"hr",1
0.9,0.87,4,260,5,1,0,0,"hr",1
0.13,0.88,5,263,4,1,0,0,"hr",1
0.94,0.92,5,257,5,1,1,0,"technical",1
0.85,0.95,5,263,5,0,0,0,"technical",2
0.41,0.86,3,154,4,1,1,0,"technical",2
0.4,0.49,2,128,3,0,1,0,"technical",2
0.44,0.49,2,127,3,0,1,0,"support",2
0.14,0.77,6,281,4,1,1,0,"support",2
0.78,0.84,5,237,5,1,1,0,"support",3
0.77,0.97,4,276,5,0,1,0,"support",1
0.76,0.9,5,261,5,1,1,0,"support",2
0.13,0.77,6,294,4,1,1,0,"technical",2
0.47,0.54,2,134,3,0,1,0,"technical",2
0.46,0.51,2,145,3,0,1,0,"IT",1
0.4,0.53,2,152,3,0,0,0,"IT",1
0.46,0.45,2,128,3,1,0,0,"IT",1
0.13,0.76,7,286,4,1,1,0,"product_mng",1
0.95,0.98,5,259,5,0,1,0,"IT",1
0.47,0.47,2,127,3,1,0,0,"sales",1
0.51,0.81,3,239,3,1,0,0,"sales",1
0.14,0.8,6,304,4,1,1,0,"accounting",1
0.41,0.53,2,145,3,1,1,0,"support",1
0.4,0.38,2,160,3,0,1,0,"marketing",2
0.46,0.45,2,137,3,0,0,0,"marketing",2
0.47,0.48,2,156,3,1,1,0,"sales",2
0.14,0.78,7,243,4,0,1,0,"sales",2
0.81,0.85,4,236,5,1,0,0,"sales",2
0.49,0.84,2,212,4,0,1,0,"sales",2
0.81,0.8,4,243,5,0,0,0,"sales",2
0.93,0.9,5,154,4,0,0,0,"sales",1
0.4,0.5,2,151,3,0,1,0,"sales",2
0.08,0.94,6,254,4,0,1,0,"sales",2
0.14,0.78,6,286,4,0,0,0,"sales",1
0.95,0.9,4,245,5,1,0,0,"sales",1
0.46,0.54,2,136,3,0,1,0,"sales",1
0.14,0.87,6,296,4,0,1,0,"accounting",1
0.84,0.98,5,235,5,0,1,0,"accounting",1
0.9,0.98,5,274,5,0,0,0,"hr",1
0.12,0.92,6,308,4,1,0,0,"technical",1
0.43,0.44,2,126,3,1,0,0,"technical",1
0.13,0.89,6,262,5,0,0,0,"technical",1
0.42,0.49,2,132,3,0,1,0,"support",2
0.83,0.56,5,180,5,0,0,0,"support",2
0.12,0.83,5,281,4,0,1,0,"support",2
0.88,0.9,4,275,5,0,1,0,"support",2
0.39,0.46,2,130,3,0,1,0,"support",3
0.41,0.44,2,147,3,0,1,0,"support",1
0.75,0.98,5,264,5,1,1,0,"technical",2
0.4,0.45,2,150,3,1,1,0,"technical",2
0.95,0.92,5,307,5,0,1,0,"IT",1
0.14,0.85,5,303,4,1,1,0,"IT",1
0.14,0.93,6,271,4,0,1,0,"IT",1
0.48,0.43,2,140,3,0,1,0,"product_mng",1
0.47,0.53,2,130,3,0,1,0,"product_mng",1
0.41,0.5,2,139,3,1,1,0,"product_mng",1
0.14,0.53,2,137,3,0,1,0,"RandD",1
0.43,0.44,2,144,3,1,1,0,"RandD",1
0.48,0.55,2,151,3,0,1,0,"accounting",1
0.87,0.86,4,264,5,0,1,0,"support",1
0.41,0.43,2,127,3,0,0,0,"technical",1
0.41,0.47,2,157,3,0,1,0,"marketing",2
0.89,0.92,5,224,5,0,1,0,"marketing",2
0.4,0.44,2,159,3,1,1,0,"marketing",2
0.35,0.43,2,131,3,1,1,0,"sales",2
0.9,0.98,4,258,5,0,1,1,"sales",2
0.43,0.45,2,151,3,0,1,0,"sales",1
0.39,0.5,2,137,3,0,1,0,"sales",2
0.9,0.88,4,256,5,1,0,0,"sales",3
0.78,0.86,4,234,5,1,1,0,"sales",1
0.41,0.45,2,149,3,0,1,0,"sales",2
0.14,0.76,7,243,4,0,1,0,"sales",2
0.37,0.41,2,138,3,1,1,0,"sales",1
0.43,0.53,2,155,3,0,1,0,"sales",1
0.95,0.85,4,229,6,1,0,0,"sales",1
0.39,0.4,2,136,3,0,0,0,"accounting",1
0.89,0.93,4,241,5,1,0,0,"accounting",1
0.83,0.93,3,150,5,0,1,0,"hr",1
0.45,0.55,2,159,3,0,1,0,"hr",1
0.49,0.51,2,129,3,0,1,0,"technical",1
0.12,0.88,6,287,4,0,1,0,"technical",1
0.13,0.8,6,272,4,0,0,0,"technical",1
0.13,0.95,6,307,4,0,1,0,"technical",1
0.14,0.91,4,295,3,1,1,0,"technical",1
0.13,0.93,6,256,4,0,1,0,"technical",2
0.49,0.52,2,158,3,0,0,0,"support",2
0.92,0.98,4,232,5,1,1,0,"support",2
0.75,0.98,4,249,6,0,1,0,"support",2
0.89,0.98,4,250,6,0,1,0,"support",2
0.77,0.87,5,232,6,0,1,0,"technical",2
0.82,0.98,4,229,5,0,1,0,"management",2
0.4,0.41,2,129,3,0,1,0,"IT",2
0.13,0.78,7,292,5,1,1,0,"IT",1
0.48,0.49,2,143,3,1,1,0,"product_mng",1
0.43,0.49,2,136,3,0,0,0,"product_mng",1
0.34,0.46,2,152,3,0,1,0,"IT",1
0.37,0.95,6,157,5,0,1,0,"RandD",1
0.5,0.79,4,133,3,0,1,0,"RandD",1
0.46,0.45,2,142,3,0,0,0,"RandD",1
0.47,0.4,2,124,3,1,1,0,"marketing",1
0.72,0.98,5,223,5,0,1,0,"accounting",1
0.77,0.87,4,267,5,0,0,0,"sales",2
