"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","Work_accident","left","promotion_last_5years","department","salary"
0.49,0.52,2,154,3,1,0,0,"marketing",1
0.41,0.48,2,143,3,1,0,0,"marketing",1
0.15,0.76,6,304,4,0,0,0,"accounting",1
0.1,0.88,6,305,4,1,0,0,"technical",1
0.43,0.46,2,136,3,1,1,0,"management",1
0.14,0.91,7,301,4,1,0,0,"marketing",1
0.94,0.94,5,243,6,1,0,0,"marketing",1
0.49,0.47,2,147,3,0,0,0,"sales",1
0.83,0.8,5,239,5,1,1,0,"sales",1
0.35,0.45,5,132,5,1,0,0,"sales",1
0.36,0.46,2,135,5,1,0,0,"sales",1
0.5,0.53,2,158,3,1,1,0,"sales",1
0.45,0.42,2,160,3,1,1,1,"sales",1
0.15,0.74,7,278,4,0,0,0,"sales",1
0.45,0.39,2,148,3,1,0,0,"sales",1
0.42,0.46,2,140,3,1,0,0,"sales",2
0.15,0.81,6,308,5,0,0,0,"sales",2
0.44,0.43,2,150,3,1,0,0,"sales",2
0.4,0.51,2,141,3,0,0,0,"hr",2
0.44,0.37,2,127,3,1,1,0,"hr",2
0.41,0.51,2,152,3,0,1,0,"technical",2
0.48,0.47,2,156,3,0,1,0,"technical",3
0.13,0.76,7,283,5,1,0,0,"technical",1
0.96,0.83,4,226,6,1,0,0,"technical",2
0.78,0.87,4,232,5,0,0,0,"technical",2
0.14,0.87,6,287,4,1,1,0,"technical",1
0.14,0.8,7,285,4,1,1,0,"technical",1
0.76,0.9,5,221,6,0,1,0,"support",1
0.94,0.78,5,259,5,0,0,0,"support",1
0.43,0.46,2,135,3,1,1,0,"support",1
0.14,0.89,6,256,4,0,1,0,"support",1
0.42,0.48,2,153,3,1,1,0,"support",1
0.47,0.42,2,156,3,1,1,0,"technical",1
0.43,0.46,4,294,3,1,0,0,"technical",1
0.44,0.49,2,151,3,1,1,0,"IT",1
0.4,0.47,2,155,3,1,0,0,"IT",1
0.4,0.44,2,158,3,1,1,0,"IT",1
0.93,0.83,5,225,5,1,0,0,"product_mng",1
0.41,0.46,2,130,3,1,1,0,"product_mng",1
0.41,0.47,2,157,3,0,1,0,"product_mng",1
0.44,0.52,2,149,3,1,1,0,"accounting",1
0.94,0.88,4,258,5,0,0,0,"accounting",1
0.89,0.91,5,236,5,1,1,0,"hr",1
0.15,0.79,6,244,4,0,0,0,"accounting",1
0.46,0.47,2,129,3,1,1,0,"support",1
0.52,0.53,4,270,4,0,1,0,"technical",1
0.44,0.49,2,151,3,1,1,0,"marketing",1
0.47,0.42,2,135,3,1,0,0,"marketing",1
0.14,0.83,7,289,4,0,1,0,"sales",1
0.42,0.49,2,156,3,1,0,0,"sales",1
0.39,0.46,2,128,3,1,0,0,"sales",1
0.41,0.44,2,159,3,1,0,0,"sales",1
0.5,0.45,2,148,3,1,1,0,"sales",1
0.91,0.87,4,228,5,1,0,0,"sales",1
0.83,0.83,5,261,5,1,1,0,"sales",1
0.83,0.88,5,249,6,1,0,0,"sales",1
0.23,0.5,7,192,3,1,1,0,"sales",1
0.64,0.88,2,258,5,0,1,0,"sales",1
0.15,0.77,6,266,4,1,1,0,"sales",2
0.46,0.5,2,156,3,1,1,0,"sales",2
0.92,0.84,5,232,5,1,1,0,"accounting",2
0.15,0.75,6,287,4,1,1,0,"accounting",2
0.86,0.93,5,263,5,1,1,0,"hr",2
0.15,0.74,6,260,4,1,1,0,"hr",2
0.46,0.46,2,139,3,1,0,0,"hr",2
0.88,0.89,4,251,5,1,0,0,"technical",2
0.15,0.91,6,286,4,1,1,0,"technical",2
0.49,0.47,2,127,3,1,1,0,"technical",2
0.15,0.8,6,251,4,1,1,0,"technical",2
0.14,0.93,6,267,4,1,1,0,"support",1
0.78,0.85,5,229,6,1,0,0,"support",1
0.86,0.72,4,233,4,1,0,0,"support",1
0.14,0.89,6,268,4,0,0,0,"support",1
0.31,0.52,3,301,3,1,0,0,"support",1
0.15,0.79,6,306,4,1,0,0,"support",1
0.86,0.87,5,232,5,1,1,0,"technical",1
0.4,0.44,2,137,3,1,0,0,"technical",1
0.45,0.4,2,146,3,1,1,0,"IT",1
0.15,0.87,6,308,4,1,0,0,"IT",1
0.14,0.89,6,253,4,1,1,0,"IT",2
0.44,0.48,2,147,3,1,1,0,"product_mng",2
0.49,0.44,2,136,3,0,0,0,"product_mng",2
0.78,0.8,5,249,5,0,1,0,"product_mng",2
0.14,0.73,7,250,5,1,1,0,"RandD",2
0.41,0.42,2,149,3,1,0,0,"marketing",3
0.15,0.78,5,287,4,0,1,0,"sales",1
0.14,0.9,6,285,4,1,0,0,"support",2
0.14,0.89,7,305,4,1,1,0,"technical",2
0.15,0.91,7,295,4,1,0,0,"management",2
0.44,0.45,2,139,3,1,1,0,"marketing",1
0.77,0.82,4,245,6,1,0,0,"sales",1
0.42,0.43,2,135,3,0,1,0,"sales",1
0.15,0.9,6,276,4,0,0,0,"sales",1
0.45,0.42,2,130,3,1,1,0,"sales",1
0.65,0.43,2,248,3,1,0,0,"sales",1
0.41,0.42,2,131,3,1,1,0,"sales",1
0.41,0.48,2,157,3,1,1,0,"sales",1
0.48,0.39,2,148,3,1,0,0,"sales",1
0.1,0.81,7,302,4,1,0,0,"sales",1
0.49,0.48,2,145,3,1,1,0,"sales",2
0.49,0.43,2,151,3,1,0,0,"accounting",2
0.81,0.83,5,266,5,0,0,0,"accounting",2
0.43,0.46,2,142,3,1,0,0,"hr",2
0.94,0.96,5,232,5,0,1,0,"technical",2
0.45,0.52,2,143,3,0,0,0,"technical",2
0.14,0.82,6,278,4,1,1,0,"technical",3
0.85,0.96,4,253,5,1,1,0,"technical",1
0.15,0.76,6,282,4,1,0,0,"technical",2
0.15,0.8,7,264,4,1,0,0,"technical",2
0.13,0.76,6,304,5,0,1,0,"technical",2
0.9,0.87,4,262,6,0,1,0,"support",1
0.48,0.53,2,135,3,1,0,0,"support",1
0.37,0.84,6,219,5,1,1,0,"support",1
0.41,0.5,2,149,3,1,0,0,"support",1
0.45,0.5,2,145,3,1,0,0,"support",1
0.95,0.83,4,235,5,1,0,0,"technical",1
0.14,0.79,6,258,4,1,1,0,"management",1
0.14,0.78,6,266,4,0,0,0,"IT",1
0.41,0.47,2,135,3,1,0,0,"IT",1
0.9,0.75,5,249,5,0,0,0,"product_mng",2
0.6,0.62,4,296,2,0,1,0,"IT",2
0.48,0.52,2,158,3,1,0,0,"accounting",2
0.35,0.52,4,238,2,1,0,0,"accounting",2
0.81,0.89,4,231,5,0,1,0,"hr",2
0.42,0.47,2,159,3,1,1,0,"sales",2
0.4,0.44,2,156,3,1,0,0,"accounting",3
0.14,0.93,6,247,4,1,1,0,"management",2
0.49,0.51,2,148,3,0,1,0,"sales",1
0.88,0.96,4,261,5,0,1,0,"sales",1
0.49,0.37,2,128,3,1,0,0,"sales",1
0.95,0.96,5,251,6,1,0,0,"sales",1
0.8,0.88,4,246,5,0,1,0,"sales",1
0.78,0.96,5,275,5,1,1,0,"sales",1
0.91,0.84,5,240,5,0,1,0,"sales",1
0.8,0.83,5,245,5,1,1,0,"sales",1
0.51,0.46,4,254,4,0,0,0,"sales",1
0.13,0.9,6,257,4,1,1,0,"sales",1
0.86,0.94,4,233,5,1,1,0,"sales",1
0.49,0.49,2,138,3,1,1,0,"accounting",2
0.95,0.93,5,233,5,1,1,0,"hr",2
0.46,0.5,3,199,4,0,1,0,"technical",2
0.86,0.81,4,223,5,1,0,0,"technical",2
0.09,0.85,6,287,4,1,1,0,"technical",2
0.9,0.96,5,257,5,0,1,0,"technical",2
0.46,0.47,2,136,3,1,1,0,"technical",2
0.78,0.88,4,261,5,1,1,0,"technical",2
0.59,0.56,3,180,4,1,1,0,"technical",2
0.45,0.48,2,127,3,1,1,0,"support",1
0.14,0.8,6,309,4,1,0,0,"support",1
0.15,0.81,6,261,4,1,1,0,"support",1
0.47,0.49,2,160,3,1,1,0,"support",1
0.45,0.48,2,136,3,1,0,0,"technical",1
0.45,0.44,2,139,3,0,1,0,"technical",1
0.81,0.96,5,229,5,1,1,0,"management",1
0.43,0.5,2,122,3,0,1,0,"IT",1
0.4,0.44,2,159,3,1,1,0,"product_mng",1
0.85,0.86,4,226,5,1,0,0,"product_mng",2
0.14,0.83,6,286,4,0,0,0,"IT",2
0.41,0.5,2,145,3,1,1,0,"RandD",2
0.48,0.49,2,127,3,1,1,0,"RandD",2
0.9,0.89,5,223,5,0,1,0,"RandD",2
0.44,0.44,2,137,3,1,1,0,"sales",2
0.47,0.46,2,137,3,1,0,0,"support",2
0.84,0.76,4,273,5,0,1,0,"management",1
0.87,0.94,5,238,5,1,1,0,"marketing",1
0.42,0.44,2,134,3,0,0,0,"marketing",2
0.13,0.86,6,292,4,1,0,0,"sales",2
0.45,0.48,2,159,3,1,0,0,"sales",1
0.93,0.81,5,261,5,1,0,0,"sales",1
0.08,0.75,6,275,4,1,0,0,"sales",1
0.75,0.79,5,227,5,1,1,0,"sales",1
0.15,0.92,7,277,5,0,1,0,"sales",1
0.81,0.83,4,242,6,1,1,0,"sales",1
0.36,0.91,5,172,2,1,1,0,"sales",1
0.23,0.96,4,187,4,1,1,0,"accounting",1
0.14,0.79,7,276,4,0,0,0,"accounting",1
0.52,0.52,4,281,6,1,0,0,"hr",2
0.1,0.79,6,244,4,1,0,0,"hr",2
0.14,0.9,6,309,4,1,1,0,"technical",2
0.14,0.78,6,244,4,0,0,0,"technical",2
0.63,0.45,7,258,4,0,1,0,"technical",2
0.95,0.8,5,265,5,0,1,0,"technical",2
0.7,0.53,5,161,5,0,1,0,"technical",3
0.47,0.47,2,155,3,1,0,0,"technical",2
0.43,0.5,2,158,3,0,1,0,"support",1
0.41,0.53,2,155,3,1,1,0,"support",1
0.48,0.44,2,146,3,1,1,0,"support",1
0.57,0.81,2,164,5,1,1,0,"support",1
0.15,0.85,6,293,4,1,0,0,"support",1
0.87,0.92,5,275,5,1,1,0,"support",1
0.48,0.5,2,151,3,0,1,0,"management",1
0.78,0.9,4,228,5,1,1,0,"IT",1
0.78,0.78,4,239,6,0,1,0,"IT",1
0.45,0.47,2,150,3,0,0,0,"product_mng",1
0.45,0.41,2,144,3,1,1,0,"product_mng",1
0.13,0.86,7,289,4,1,0,0,"product_mng",1
0.14,0.8,6,246,4,1,1,0,"hr",2
0.47,0.42,2,136,3,1,1,0,"hr",2
0.79,0.81,5,240,6,0,0,0,"marketing",2
0.36,0.52,2,156,3,1,0,0,"sales",2
0.44,0.41,2,158,3,0,0,0,"support",2
0.86,0.96,5,261,5,1,1,0,"technical",2
0.5,0.5,2,129,3,1,0,0,"marketing",3
0.85,0.83,4,254,5,1,1,0,"marketing",1
0.81,0.87,5,236,5,0,1,0,"marketing",2
0.47,0.45,2,135,3,1,0,0,"sales",2
0.41,0.46,2,141,3,1,1,0,"sales",1
0.45,0.43,2,138,3,1,1,0,"sales",1
0.86,0.81,5,248,5,1,1,0,"sales",1
0.5,0.39,2,141,3,1,1,0,"sales",1
0.47,0.53,2,157,3,0,1,0,"sales",1
0.13,0.82,6,279,4,0,0,0,"sales",1
0.14,0.73,7,291,4,1,0,0,"accounting",1
0.45,0.49,2,157,3,1,1,0,"accounting",1
0.83,0.54,3,294,4,0,1,0,"hr",1
0.48,0.47,2,129,3,1,0,0,"hr",2
0.29,0.42,4,214,4,0,1,0,"technical",2
0.77,0.96,4,252,5,0,1,0,"technical",2
0.43,0.45,2,129,3,0,1,0,"technical",2
0.94,0.92,5,243,5,1,0,0,"technical",2
0.38,0.51,2,159,3,1,1,0,"technical",3
0.48,0.47,2,145,3,1,0,0,"support",1
0.48,0.52,2,145,3,1,1,0,"support",2
0.4,0.52,2,154,3,1,0,1,"support",2
0.44,0.47,2,139,3,1,1,0,"support",1
0.5,0.53,2,152,3,1,0,0,"support",1
0.79,0.79,2,211,3,1,1,0,"support",1
0.91,0.86,5,258,5,1,0,0,"support",1
0.42,0.51,2,148,3,1,0,0,"support",1
0.41,0.5,2,132,3,0,1,0,"technical",1
0.14,0.73,6,255,4,1,0,0,"management",1
0.9,0.75,5,222,5,1,1,0,"IT",1
0.15,0.86,6,263,4,0,1,0,"IT",1
0.41,0.42,2,157,3,1,1,0,"IT",1
0.15,0.88,7,307,4,1,1,0,"IT",1
0.81,0.94,5,259,6,1,1,0,"product_mng",1
0.14,0.8,7,250,4,0,0,0,"product_mng",1
0.87,0.86,5,245,5,1,0,0,"product_mng",1
0.15,0.75,6,292,4,1,0,0,"IT",1
0.49,0.45,2,134,3,0,1,0,"RandD",2
0.43,0.49,2,122,3,1,0,0,"sales",2
0.37,0.43,2,138,3,1,1,0,"accounting",2
0.13,0.86,7,296,4,1,1,0,"technical",2
0.14,0.79,7,267,4,1,0,0,"management",2
0.87,0.91,4,251,5,0,0,0,"marketing",2
0.47,0.47,2,141,3,1,0,0,"sales",1
0.84,0.71,3,268,2,1,1,0,"sales",2
0.42,0.46,2,140,3,1,1,0,"sales",1
0.77,0.94,5,263,6,0,1,0,"sales",1
0.48,0.45,2,145,3,1,0,0,"sales",1
0.45,0.42,2,156,3,0,1,0,"sales",1
0.76,0.81,5,244,6,1,1,0,"sales",1
0.38,0.63,4,141,2,1,1,0,"sales",1
0.37,0.52,2,154,3,1,1,0,"sales",1
0.47,0.48,2,147,3,1,1,0,"sales",1
0.88,0.79,4,227,5,1,1,0,"accounting",1
0.47,0.44,2,153,3,1,1,0,"accounting",1
0.41,0.43,2,128,3,0,0,0,"accounting",1
0.78,0.93,4,223,5,1,0,0,"hr",1
0.41,0.38,2,148,3,1,1,0,"hr",1
0.5,0.46,2,151,3,1,1,0,"technical",2
0.49,0.5,2,129,3,1,1,0,"technical",2
0.5,0.46,2,156,3,0,0,0,"technical",2
0.38,0.41,2,134,3,1,0,0,"technical",2
0.13,0.84,6,269,4,1,1,0,"technical",2
0.13,0.73,6,290,4,1,0,0,"technical",2
0.47,0.51,2,130,3,1,0,0,"support",3
0.43,0.49,2,141,3,1,1,0,"support",1
0.48,0.46,2,130,3,0,0,0,"support",2
0.43,0.37,2,136,3,0,1,0,"support",2
0.82,0.85,5,274,6,1,0,0,"support",2
0.14,0.73,5,276,4,0,0,0,"support",1
0.79,0.81,5,267,5,1,1,0,"support",1
0.5,0.58,6,213,3,1,0,0,"support",1
0.95,0.93,4,274,6,1,1,0,"technical",1
0.5,0.48,2,154,3,0,1,0,"IT",1
0.5,0.46,2,157,3,0,1,0,"IT",1
0.9,0.96,5,229,5,0,0,0,"product_mng",1
0.14,0.79,6,269,4,0,1,0,"IT",1
0.15,0.83,7,278,4,1,0,0,"sales",1
0.91,0.96,4,228,5,1,1,0,"support",2
0.46,0.71,3,218,4,1,1,0,"management",2
0.14,0.79,6,278,4,1,1,0,"marketing",2
0.82,0.67,3,249,5,1,0,0,"marketing",2
0.39,0.95,3,236,4,0,0,0,"sales",2
0.14,0.77,7,291,4,1,1,0,"sales",3
0.5,0.46,2,143,3,0,1,0,"sales",2
0.93,0.78,4,243,5,1,1,0,"sales",2
0.49,0.5,2,147,3,1,0,0,"sales",1
0.78,0.87,5,271,5,0,0,0,"sales",1
0.68,0.86,6,247,2,0,0,0,"sales",1
0.44,0.51,2,159,3,1,1,0,"sales",1
0.4,0.41,2,127,3,1,0,0,"accounting",1
0.47,0.53,2,160,3,0,1,0,"technical",2
0.13,0.79,6,282,4,1,1,0,"technical",2
0.89,0.54,3,226,2,1,1,0,"support",2
0.42,0.41,2,129,3,1,1,0,"support",2
0.05,0.88,7,255,4,1,0,0,"support",2
0.46,0.52,2,143,3,1,1,0,"support",2
0.15,0.83,6,257,4,1,0,0,"support",2
0.54,0.5,5,153,4,1,1,0,"support",1
0.47,0.47,2,130,3,1,0,0,"IT",1
0.5,0.41,2,138,3,1,1,1,"IT",1
0.81,0.83,5,235,5,1,0,0,"IT",1
0.43,0.5,2,127,3,1,0,0,"sales",1
0.45,0.51,2,151,3,1,1,0,"sales",1
0.14,0.86,7,290,4,1,1,0,"sales",1
0.43,0.42,2,159,3,0,1,0,"sales",2
0.87,0.95,4,223,5,0,0,0,"accounting",2
0.48,0.5,2,127,3,0,0,0,"management",2
0.46,0.42,2,141,3,0,1,0,"marketing",2
0.14,0.82,6,309,4,0,1,0,"sales",2
0.35,0.73,4,149,3,1,1,0,"sales",2
0.46,0.5,2,159,3,0,1,0,"sales",2
0.42,0.46,2,152,3,0,0,0,"sales",3
0.14,0.93,6,254,5,1,1,0,"sales",2
0.15,0.86,7,247,4,1,0,0,"sales",2
0.76,0.96,4,245,5,1,0,0,"sales",1
0.4,0.42,2,132,3,1,1,0,"sales",1
0.82,0.89,5,225,5,1,0,0,"sales",1
0.14,0.88,6,243,4,1,1,0,"sales",1
0.27,0.95,4,204,4,1,1,0,"accounting",1
0.15,0.83,6,301,4,1,0,0,"accounting",1
0.95,0.85,4,247,5,0,0,0,"hr",1
0.47,0.51,2,153,3,0,1,0,"technical",2
0.14,0.73,6,310,4,1,1,0,"technical",2
0.85,0.91,5,266,5,1,1,0,"technical",2
0.49,0.5,2,138,3,1,1,0,"technical",2
0.75,0.96,4,300,5,0,0,0,"support",2
0.15,0.93,7,310,4,1,1,0,"support",2
0.13,0.93,7,288,4,1,1,0,"support",2
0.42,0.45,2,127,3,1,0,0,"support",2
0.19,0.46,6,139,4,1,1,0,"support",3
0.14,0.88,7,253,4,1,1,0,"support",1
0.84,0.93,4,218,5,1,1,0,"support",2
0.83,0.93,5,251,5,1,1,0,"support",2
0.44,0.47,2,138,3,0,1,0,"technical",1
0.45,0.41,2,123,3,0,1,0,"management",1
0.15,0.82,6,303,4,0,1,0,"IT",1
0.14,0.89,6,269,4,1,0,0,"IT",1
0.63,0.96,2,160,5,1,1,0,"product_mng",1
0.88,0.78,5,224,6,1,1,0,"RandD",1
0.93,0.96,4,260,5,1,1,0,"RandD",1
0.15,0.74,6,300,4,0,1,0,"RandD",1
0.4,0.52,2,138,3,0,1,0,"accounting",2
0.14,0.81,6,254,4,1,1,0,"technical",2
0.43,0.43,2,152,3,1,0,0,"marketing",2
0.48,0.47,2,146,3,1,1,0,"marketing",2
0.14,0.8,6,253,4,1,0,0,"marketing",2
0.83,0.9,5,227,6,1,1,0,"sales",2
0.14,0.77,6,301,4,1,0,0,"sales",2
0.41,0.43,2,151,3,1,1,0,"sales",2
0.83,0.81,5,258,5,0,0,0,"sales",2
0.46,0.52,2,156,3,1,1,0,"sales",2
0.14,0.81,6,273,4,0,1,0,"sales",2
0.15,0.74,6,303,4,1,1,0,"sales",1
0.45,0.43,2,154,3,1,1,0,"sales",1
0.14,0.9,6,260,4,0,1,0,"sales",1
0.86,0.81,5,218,5,0,0,0,"sales",1
0.42,0.53,2,152,3,0,1,0,"hr",1
0.43,0.52,2,121,3,1,1,0,"hr",1
0.91,0.85,4,260,5,1,1,0,"hr",1
0.14,0.86,5,263,4,0,1,0,"hr",1
0.95,0.9,5,257,5,1,1,0,"technical",1
0.86,0.93,5,263,5,1,1,0,"technical",2
0.42,0.84,3,154,4,1,1,0,"technical",2
0.41,0.47,2,128,3,0,0,0,"technical",2
0.45,0.47,2,127,3,1,1,0,"support",2
0.15,0.75,6,281,4,0,1,0,"support",2
0.79,0.82,5,237,5,0,1,0,"support",3
0.78,0.95,4,276,5,1,0,0,"support",1
0.77,0.88,5,261,5,1,1,0,"support",2
0.14,0.75,6,294,4,1,0,0,"technical",2
0.48,0.52,2,134,3,1,1,0,"technical",2
0.47,0.49,2,145,3,1,0,0,"IT",1
0.41,0.51,2,152,3,1,1,0,"IT",1
0.47,0.43,2,128,3,0,1,0,"IT",1
0.14,0.74,7,286,4,1,0,0,"product_mng",1
0.96,0.96,5,259,5,1,1,0,"IT",1
0.48,0.45,2,127,3,0,0,0,"sales",1
0.52,0.79,3,239,3,0,1,0,"sales",1
0.15,0.78,6,304,4,0,1,0,"accounting",1
0.42,0.51,2,145,3,1,1,0,"support",1
0.41,0.36,2,160,3,0,1,0,"marketing",2
0.47,0.43,2,137,3,0,1,0,"marketing",2
0.48,0.46,2,156,3,0,1,0,"sales",2
0.15,0.76,7,243,4,1,1,0,"sales",2
0.82,0.83,4,236,5,1,0,0,"sales",2
0.5,0.82,2,212,4,0,0,0,"sales",2
0.82,0.78,4,243,5,1,1,0,"sales",2
0.94,0.88,5,154,4,1,1,0,"sales",1
0.41,0.48,2,151,3,1,0,0,"sales",2
0.09,0.92,6,254,4,1,0,0,"sales",2
0.15,0.76,6,286,4,1,0,0,"sales",1
0.96,0.88,4,245,5,0,1,0,"sales",1
0.47,0.52,2,136,3,1,1,0,"sales",1
0.15,0.85,6,296,4,0,1,0,"accounting",1
0.85,0.96,5,235,5,0,1,0,"accounting",1
0.91,0.96,5,274,5,0,1,0,"hr",1
0.13,0.9,6,308,4,1,1,0,"technical",1
0.44,0.42,2,126,3,0,0,0,"technical",1
0.14,0.87,6,262,5,0,0,0,"technical",1
0.43,0.47,2,132,3,1,1,0,"support",2
0.84,0.54,5,180,5,1,1,0,"support",2
0.13,0.81,5,281,4,0,0,0,"support",2
0.89,0.88,4,275,5,1,0,0,"support",2
0.4,0.44,2,130,3,1,1,0,"support",3
0.42,0.42,2,147,3,1,1,0,"support",1
0.76,0.96,5,264,5,1,0,0,"technical",2
0.41,0.43,2,150,3,0,0,0,"technical",2
0.96,0.9,5,307,5,0,1,0,"IT",1
0.15,0.83,5,303,4,0,1,0,"IT",1
0.15,0.91,6,271,4,1,1,0,"IT",1
0.49,0.41,2,140,3,0,0,0,"product_mng",1
0.48,0.51,2,130,3,0,0,0,"product_mng",1
0.42,0.48,2,139,3,1,1,0,"product_mng",1
0.15,0.51,2,137,3,1,1,0,"RandD",1
0.44,0.42,2,144,3,0,1,0,"RandD",1
0.49,0.53,2,151,3,1,0,0,"accounting",1
0.88,0.84,4,264,5,1,1,0,"support",1
0.42,0.41,2,127,3,0,1,0,"technical",1
0.42,0.45,2,157,3,1,0,0,"marketing",2
0.9,0.9,5,224,5,1,1,0,"marketing",2
0.41,0.42,2,159,3,1,1,0,"marketing",2
0.36,0.41,2,131,3,1,0,0,"sales",2
0.91,0.96,4,258,5,1,1,1,"sales",2
0.44,0.43,2,151,3,1,0,0,"sales",1
0.4,0.48,2,137,3,1,1,0,"sales",2
0.91,0.86,4,256,5,0,1,0,"sales",3
0.79,0.84,4,234,5,1,1,0,"sales",1
0.42,0.43,2,149,3,1,0,0,"sales",2
0.15,0.74,7,243,4,1,0,0,"sales",2
0.38,0.39,2,138,3,1,0,0,"sales",1
0.44,0.51,2,155,3,1,1,0,"sales",1
0.96,0.83,4,229,6,1,0,0,"sales",1
0.4,0.38,2,136,3,1,0,0,"accounting",1
0.9,0.91,4,241,5,1,1,0,"accounting",1
0.84,0.91,3,150,5,1,0,0,"hr",1
0.46,0.53,2,159,3,1,1,0,"hr",1
0.5,0.49,2,129,3,1,1,0,"technical",1
0.13,0.86,6,287,4,1,0,0,"technical",1
0.14,0.78,6,272,4,1,0,0,"technical",1
0.14,0.93,6,307,4,1,0,0,"technical",1
0.15,0.89,4,295,3,1,1,0,"technical",1
0.14,0.91,6,256,4,1,1,0,"technical",2
0.5,0.5,2,158,3,0,1,0,"support",2
0.93,0.96,4,232,5,1,0,0,"support",2
0.76,0.96,4,249,6,0,0,0,"support",2
0.9,0.96,4,250,6,1,1,0,"support",2
0.78,0.85,5,232,6,1,0,0,"technical",2
0.83,0.96,4,229,5,1,0,0,"management",2
0.41,0.39,2,129,3,1,1,0,"IT",2
0.14,0.76,7,292,5,0,1,0,"IT",1
0.49,0.47,2,143,3,1,1,0,"product_mng",1
0.44,0.47,2,136,3,0,1,0,"product_mng",1
0.35,0.44,2,152,3,1,1,0,"IT",1
0.38,0.93,6,157,5,1,1,0,"RandD",1
0.51,0.77,4,133,3,1,0,0,"RandD",1
0.47,0.43,2,142,3,0,1,0,"RandD",1
0.48,0.38,2,124,3,1,0,0,"marketing",1
0.73,0.96,5,223,5,1,1,0,"accounting",1
0.78,0.85,4,267,5,1,1,0,"sales",2
